Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,WD,WD20EURX 2TB,66.3,2TB,WD20EURX,2TB,,https://hdd.userbenchmark.com/SpeedTest/6121/WDC-WD20EURX-64H
HDD,WD,WD4500HLHX-01JJPV0 450GB,66.3,450GB,WD4500HLHX-01JJPV0,450GB,,https://hdd.userbenchmark.com/SpeedTest/8988/WDC-WD4500HLHX-01JJPV0
HDD,WD,WD2001FASS-00U0B0 2TB,66.2,2TB,WD2001FASS-00U0B0,2TB,,https://hdd.userbenchmark.com/SpeedTest/1611/WDC-WD2001FASS-00U0B0
HDD,WD,Purple 2TB (2014),66.2,2TB,Purple,2TB,2014.0,https://hdd.userbenchmark.com/WD-Purple-2TB-2014/Rating/2662
HDD,WD,Purple 3TB (2014),66.1,3TB,Purple,3TB,2014.0,https://hdd.userbenchmark.com/SpeedTest/15186/WDC-WD30PURX-64P
HDD,WD,Green 4TB (2013),66.1,4TB,Green,4TB,2013.0,https://hdd.userbenchmark.com/WD-Green-4TB-2013/Rating/3516
HDD,Hitachi,HDS723020BLA642 2TB,65.7,2TB,HDS723020BLA642,2TB,,https://hdd.userbenchmark.com/SpeedTest/1339/Hitachi-HDS723020BLA642
HDD,Hitachi,HDS5C3020BLE630 2TB,65.4,2TB,HDS5C3020BLE630,2TB,,https://hdd.userbenchmark.com/SpeedTest/7375/Hitachi-HDS5C3020BLE630
HDD,WD,Purple 1TB (2014),65.4,1TB,Purple,1TB,2014.0,https://hdd.userbenchmark.com/SpeedTest/14824/WDC-WD10PURX-64D85Y0
HDD,Seagate,ST500NM0011 500GB,65.0,500GB,ST500NM0011,500GB,,https://hdd.userbenchmark.com/SpeedTest/2942/ST500NM0011
HDD,Seagate,Barracuda 3TB (2017),64.8,3TB,Barracuda,3TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/337813/ST3000DM007-1WY10G
HDD,WD,Blue 2TB (2015),64.8,2TB,Blue,2TB,2015.0,https://hdd.userbenchmark.com/WD-Blue-2TB-2015/Rating/3521
HDD,WD,Black 1.5TB (2010),64.7,5TB,Black 1.,5TB,2010.0,https://hdd.userbenchmark.com/SpeedTest/3664/WDC-WD1502FAEX-007BA0
HDD,Hitachi,HUA723020ALA640 2TB,64.6,2TB,HUA723020ALA640,2TB,,https://hdd.userbenchmark.com/SpeedTest/8994/Hitachi-HUA723020ALA640
HDD,WD,WD10EURX 1TB,64.2,1TB,WD10EURX,1TB,,https://hdd.userbenchmark.com/SpeedTest/1122/WDC-WD10EURX-73C57Y0
HDD,Seagate,Expansion Desk 4TB,64.1,4TB,Expansion Desk,4TB,,https://hdd.userbenchmark.com/SpeedTest/7034/Seagate-Expansion-Desk
HDD,WD,WD45 00HLHX-01JJPV0 450GB,64.0,450GB,WD45 00HLHX-01JJPV0,450GB,,https://hdd.userbenchmark.com/SpeedTest/7176/WDC-WD45-00HLHX-01JJPV0
HDD,WD,Green 1TB (2011),64.0,1TB,Green,1TB,2011.0,https://hdd.userbenchmark.com/SpeedTest/1216/WDC-WD10EZRX-00A8LB0
HDD,Hitachi,HUA723020ALA641 2TB,63.8,2TB,HUA723020ALA641,2TB,,https://hdd.userbenchmark.com/SpeedTest/11019/Hitachi-HUA723020ALA641
HDD,WD,WD1501FASS-00U0B 1.5TB,63.7,5TB,WD1501FASS-00U0B 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/6711/WDC-WD1501FASS-00U0B
HDD,WD,WD3000HLHX-01JJPV0 300GB,63.6,300GB,WD3000HLHX-01JJPV0,300GB,,https://hdd.userbenchmark.com/SpeedTest/3987/WDC-WD3000HLHX-01JJPV0
HDD,WD,Green 2TB (2012),63.6,2TB,Green,2TB,2012.0,https://hdd.userbenchmark.com/WD-Green-2TB-2012/Rating/1781
HDD,WD,WD30EURX 3TB,63.3,3TB,WD30EURX,3TB,,https://hdd.userbenchmark.com/SpeedTest/4058/WDC-WD30EURX-63T0FY0
HDD,Samsung,HD103SM 1TB,63.2,1TB,HD103SM,1TB,,https://hdd.userbenchmark.com/SpeedTest/3901/SAMSUNG-HD103SM
HDD,Seagate,Archive HDD 8TB (2015),62.5,8TB,Archive HDD,8TB,2015.0,https://hdd.userbenchmark.com/SpeedTest/30791/ST8000AS0002-1NA17Z
HDD,WD,Blue SSHD 4TB (2015),62.4,4TB,Blue SSHD,4TB,2015.0,https://hdd.userbenchmark.com/SpeedTest/35578/WDC-WD40E31X-00HY4A0
HDD,WD,Green 3TB (2011),62.3,3TB,Green,3TB,2011.0,https://hdd.userbenchmark.com/WD-Green-3TB-2011/Rating/1415
HDD,Seagate,Backup+ Desk 4TB,62.2,4TB,Backup+ Desk,4TB,,https://hdd.userbenchmark.com/SpeedTest/3619/Seagate-Backup--Desk
HDD,Toshiba,MK1002TSKB 1TB,62.2,1TB,MK1002TSKB,1TB,,https://hdd.userbenchmark.com/SpeedTest/6001/TOSHIBA-MK1002TSKB
HDD,WD,WD30EURS-63SPKY0 3TB,61.4,3TB,WD30EURS-63SPKY0,3TB,,https://hdd.userbenchmark.com/SpeedTest/1387/WDC-WD30EURS-63SPKY0
HDD,Seagate,Barracuda Desktop 5TB,61.3,5TB,Barracuda Desktop,5TB,,https://hdd.userbenchmark.com/SpeedTest/17358/ST5000DM000-1FK178
HDD,Seagate,ST31000524NS 1TB,61.3,1TB,ST31000524NS,1TB,,https://hdd.userbenchmark.com/SpeedTest/9641/ST31000524NS
HDD,WD,Re 1TB (2013),60.7,1TB,Re,1TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/8573/WDC-WD1003FBYZ-010FB0
HDD,Hitachi,HCS5C2020ALA632 2TB,60.6,2TB,HCS5C2020ALA632,2TB,,https://hdd.userbenchmark.com/SpeedTest/1904/Hitachi-HCS5C2020ALA632
HDD,Hitachi,HUA722010CLA330 1TB,60.5,1TB,HUA722010CLA330,1TB,,https://hdd.userbenchmark.com/SpeedTest/1380/Hitachi-HUA722010CLA330
HDD,Hitachi,HDS721050DLE630 500GB,60.4,500GB,HDS721050DLE630,500GB,,https://hdd.userbenchmark.com/SpeedTest/1540/Hitachi-HDS721050DLE630
HDD,WD,RE4 500GB (2010),59.8,500GB,RE4,500GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/5856/WDC-WD5003ABYX-01WERA1
HDD,Hitachi,HDS721010CLA330 1TB,59.8,1TB,HDS721010CLA330,1TB,,https://hdd.userbenchmark.com/SpeedTest/2095/Hitachi-HDS721010CLA330
HDD,WD,WD7502AAEX-00Y9A0 750GB,59.7,750GB,WD7502AAEX-00Y9A0,750GB,,https://hdd.userbenchmark.com/SpeedTest/1200/WDC-WD7502AAEX-00Y9A0
HDD,Hitachi,HTS721010A9 1TB,59.6,1TB,HTS721010A9,1TB,,https://hdd.userbenchmark.com/SpeedTest/4115/HGST-HTS721010A9
HDD,WD,RE4 1TB (2010),59.5,1TB,RE4,1TB,2010.0,https://hdd.userbenchmark.com/SpeedTest/4565/WDC-WD1003FBYX-01Y7B0
HDD,Seagate,ST32000641AS 2TB,59.4,2TB,ST32000641AS,2TB,,https://hdd.userbenchmark.com/SpeedTest/1130/ST32000641AS
HDD,Samsung,HD322GJ 320GB,59.3,320GB,HD322GJ,320GB,,https://hdd.userbenchmark.com/SpeedTest/3922/SAMSUNG-HD322GJ
HDD,Samsung,Spinpoint F3 1TB,59.2,1TB,Spinpoint F3,1TB,,https://hdd.userbenchmark.com/Samsung-Spinpoint-F3-1TB/Rating/1848
HDD,HGST,"Travelstar 7K1000 2.5"" 1TB",59.1,1TB,"Travelstar 7K1000 2.5""",1TB,,https://hdd.userbenchmark.com/SpeedTest/975/HGST-HTS721010A9E630
HDD,Seagate,ST3500514NS 500GB,59.1,500GB,ST3500514NS,500GB,,https://hdd.userbenchmark.com/SpeedTest/6066/ST3500514NS
HDD,WD,WD3000BLFS-08YBU0 300GB,59.0,300GB,WD3000BLFS-08YBU0,300GB,,https://hdd.userbenchmark.com/SpeedTest/4420/WDC-WD3000BLFS-08YBU0
HDD,Seagate,ST500DM005 HD502HJ 500GB,59.0,500GB,ST500DM005 HD502HJ,500GB,,https://hdd.userbenchmark.com/SpeedTest/3407/ST500DM005-HD502HJ
HDD,Seagate,Barracuda Green 2TB,58.9,2TB,Barracuda Green,2TB,,https://hdd.userbenchmark.com/SpeedTest/979/ST2000DL003-9VT166
HDD,WD,RE4 250GB (2010),58.5,250GB,RE4,250GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/5792/WDC-WD2503ABYX-01WERA0
HDD,Samsung,HD502HJ 500GB,58.4,500GB,HD502HJ,500GB,,https://hdd.userbenchmark.com/SpeedTest/1184/SAMSUNG-HD502HJ
HDD,Seagate,Barracuda 7200.14 500GB,58.4,500GB,Barracuda 7200.14,500GB,,https://hdd.userbenchmark.com/SpeedTest/712/ST500DM002-1BD142
HDD,Hitachi,HDS723015BLA642 1.5TB,58.2,5TB,HDS723015BLA642 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/1237/Hitachi-HDS723015BLA642
HDD,Hitachi,HDS72101 1TB,58.2,1TB,HDS72101,1TB,,https://hdd.userbenchmark.com/SpeedTest/3573/Hitachi-HDS72101
HDD,Toshiba,MK1002TS 1TB,58.1,1TB,MK1002TS,1TB,,https://hdd.userbenchmark.com/SpeedTest/4326/TOSHIBA-MK1002TS
HDD,Hitachi,HDS721010CLA630 1TB,58.1,1TB,HDS721010CLA630,1TB,,https://hdd.userbenchmark.com/SpeedTest/1955/Hitachi-HDS721010CLA630
HDD,Seagate,Surveillance 2TB,57.9,2TB,Surveillance,2TB,,https://hdd.userbenchmark.com/SpeedTest/11181/ST2000VX002-1AH166
HDD,Hitachi,HDS721010CLA632 1TB,57.9,1TB,HDS721010CLA632,1TB,,https://hdd.userbenchmark.com/SpeedTest/2755/Hitachi-HDS721010CLA632
HDD,Toshiba,"Notebook SSHD 2.5"" 1TB",57.6,1TB,"Notebook SSHD 2.5""",1TB,,https://hdd.userbenchmark.com/Toshiba-Notebook-SSHD-25--1TB/Rating/1957
HDD,WD,WD3000GLFS-01F8U0 300GB,57.5,300GB,WD3000GLFS-01F8U0,300GB,,https://hdd.userbenchmark.com/SpeedTest/1583/WDC-WD3000GLFS-01F8U0
HDD,WD,WD1001FALS-41Y6A1 1TB,57.4,1TB,WD1001FALS-41Y6A1,1TB,,https://hdd.userbenchmark.com/SpeedTest/4052/WDC-WD1001FALS-41Y6A1
HDD,WD,WD30EZRS-00J99B0 3TB,57.4,3TB,WD30EZRS-00J99B0,3TB,,https://hdd.userbenchmark.com/SpeedTest/3380/WDC-WD30EZRS-00J99B0
HDD,WD,WD740HLFS-01G6U0 74GB,57.4,74GB,WD740HLFS-01G6U0,74GB,,https://hdd.userbenchmark.com/SpeedTest/2768/WDC-WD740HLFS-01G6U0
HDD,Hitachi,HDS721050CLA360 500GB,57.3,500GB,HDS721050CLA360,500GB,,https://hdd.userbenchmark.com/SpeedTest/3631/Hitachi-HDS721050CLA360
HDD,WD,WD6402AAEX-00Z3A0 640GB,57.3,640GB,WD6402AAEX-00Z3A0,640GB,,https://hdd.userbenchmark.com/SpeedTest/1783/WDC-WD6402AAEX-00Z3A0
HDD,WD,WD7500AALX-009BA0 750GB,57.3,750GB,WD7500AALX-009BA0,750GB,,https://hdd.userbenchmark.com/SpeedTest/5152/WDC-WD7500AALX-009BA0
HDD,Hitachi,HDS721075CLA332 750GB,57.3,750GB,HDS721075CLA332,750GB,,https://hdd.userbenchmark.com/SpeedTest/5587/Hitachi-HDS721075CLA332
HDD,Seagate,Barracuda Green 1TB,57.1,1TB,Barracuda Green,1TB,,https://hdd.userbenchmark.com/SpeedTest/1672/ST1000DL002-9TT153
HDD,Hitachi,HDS5C4040ALE630 4TB,57.1,4TB,HDS5C4040ALE630,4TB,,https://hdd.userbenchmark.com/SpeedTest/2257/Hitachi-HDS5C4040ALE630
HDD,Seagate,Barracuda Green 2TB,57.0,2TB,Barracuda Green,2TB,,https://hdd.userbenchmark.com/SpeedTest/447/ST2000DL001-9VT156
HDD,Apple,HDD WDC WD10EALX-408EA0 1TB,56.9,1TB,HDD WDC WD10EALX-408EA0,1TB,,https://hdd.userbenchmark.com/SpeedTest/6944/APPLE-HDD-WDC-WD10EALX-408EA0
HDD,WD,Blue 1TB (2010),56.9,1TB,Blue,1TB,2010.0,https://hdd.userbenchmark.com/WD-Blue-1TB-2010/Rating/2023
HDD,WD,Blue 1TB (2010),56.9,1TB,Blue,1TB,2010.0,https://hdd.userbenchmark.com/WD-Blue-1TB-2010/Rating/1780
HDD,WD,VelociRaptor 300GB,56.8,300GB,VelociRaptor,300GB,,https://hdd.userbenchmark.com/SpeedTest/1307/WDC-WD3000HLFS-01G6U1
HDD,WD,Black 1TB (2010),56.8,1TB,Black,1TB,2010.0,https://hdd.userbenchmark.com/WD-Black-1TB-2010/Rating/1580
HDD,Hitachi,Deskstar 7K1000.C 1TB,56.7,1TB,Deskstar 7K1000.C,1TB,,https://hdd.userbenchmark.com/SpeedTest/1129/Hitachi-HDS721010CLA332
HDD,Seagate,ST2000DL 004 HD204UI 2TB,56.7,2TB,ST2000DL 004 HD204UI,2TB,,https://hdd.userbenchmark.com/SpeedTest/7858/ST2000DL-004-HD204UI
HDD,WD,WD1001FAES-60Z2A0 1TB,56.6,1TB,WD1001FAES-60Z2A0,1TB,,https://hdd.userbenchmark.com/SpeedTest/3129/WDC-WD1001FAES-60Z2A0
HDD,Seagate,ST3500411SV 500GB,56.6,500GB,ST3500411SV,500GB,,https://hdd.userbenchmark.com/SpeedTest/5943/ST3500411SV
HDD,WD,Green 500GB (2012),56.6,500GB,Green,500GB,2012.0,https://hdd.userbenchmark.com/SpeedTest/2487/WDC-WD5000AZRX-00A8LB0
HDD,Samsung,HD254GJ 250GB,56.6,250GB,HD254GJ,250GB,,https://hdd.userbenchmark.com/SpeedTest/10095/SAMSUNG-HD254GJ
HDD,Hitachi,HDS721050CLA362 500GB,56.4,500GB,HDS721050CLA362,500GB,,https://hdd.userbenchmark.com/SpeedTest/2062/Hitachi-HDS721050CLA362
HDD,Hitachi,HTS721010A9E6300 1TB,56.4,1TB,HTS721010A9E6300,1TB,,https://hdd.userbenchmark.com/SpeedTest/11219/HGST-HTS721010A9E6300
HDD,WD,WD1001FALS-00U9B0 1TB,56.2,1TB,WD1001FALS-00U9B0,1TB,,https://hdd.userbenchmark.com/SpeedTest/2730/WDC-WD1001FALS-00U9B0
HDD,Seagate,ST31000525SV 1TB,56.2,1TB,ST31000525SV,1TB,,https://hdd.userbenchmark.com/SpeedTest/9992/ST31000525SV
HDD,Hitachi,HDS721050CLA662 500GB,56.0,500GB,HDS721050CLA662,500GB,,https://hdd.userbenchmark.com/SpeedTest/1785/Hitachi-HDS721050CLA662
HDD,Hitachi,HDS72202 2TB,55.8,2TB,HDS72202,2TB,,https://hdd.userbenchmark.com/SpeedTest/9104/Hitachi-HDS72202
HDD,WD,WD20EURS-63S48Y0 2TB,55.7,2TB,WD20EURS-63S48Y0,2TB,,https://hdd.userbenchmark.com/SpeedTest/2441/WDC-WD20EURS-63S48Y0
HDD,Hitachi,HDS72105 500GB,55.7,500GB,HDS72105,500GB,,https://hdd.userbenchmark.com/SpeedTest/7340/Hitachi-HDS72105
HDD,WD,WD1500HLFS-01G6U1 150GB,55.5,150GB,WD1500HLFS-01G6U1,150GB,,https://hdd.userbenchmark.com/SpeedTest/2890/WDC-WD1500HLFS-01G6U1
HDD,WD,WD5002AALX-00J37A0 500GB,55.5,500GB,WD5002AALX-00J37A0,500GB,,https://hdd.userbenchmark.com/SpeedTest/3694/WDC-WD5002AALX-00J37A0
HDD,Seagate,STM3500418AS 500GB,55.5,500GB,STM3500418AS,500GB,,https://hdd.userbenchmark.com/SpeedTest/2669/STM3500418AS
HDD,Samsung,HD253GJ 250GB,55.5,250GB,HD253GJ,250GB,,https://hdd.userbenchmark.com/SpeedTest/3770/SAMSUNG-HD253GJ
HDD,Seagate,ST3500410SV 500GB,55.4,500GB,ST3500410SV,500GB,,https://hdd.userbenchmark.com/SpeedTest/1363/ST3500410SV
HDD,Hitachi,HDS722020ALA330 2TB,55.1,2TB,HDS722020ALA330,2TB,,https://hdd.userbenchmark.com/SpeedTest/1289/Hitachi-HDS722020ALA330
HDD,Samsung,Spinpoint F4 2TB,54.9,2TB,Spinpoint F4,2TB,,https://hdd.userbenchmark.com/SpeedTest/324/SAMSUNG-HD204UI
HDD,Seagate,Desktop HDD 1TB (2013),54.9,1TB,Desktop HDD,1TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/3274/ST1000DM000-9TS15E
HDD,Seagate,Barracuda 7200.11 1.5TB,54.9,5TB,Barracuda 7200.11 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/864/ST31500341AS
HDD,Hitachi,HDS5C3020ALA632 2TB,54.7,2TB,HDS5C3020ALA632,2TB,,https://hdd.userbenchmark.com/SpeedTest/693/Hitachi-HDS5C3020ALA632
HDD,WD,WD10EUCX-63YZ1Y0 1TB,54.6,1TB,WD10EUCX-63YZ1Y0,1TB,,https://hdd.userbenchmark.com/SpeedTest/2516/WDC-WD10EUCX-63YZ1Y0
HDD,Seagate,ST3500410AS 500GB,54.6,500GB,ST3500410AS,500GB,,https://hdd.userbenchmark.com/SpeedTest/1333/ST3500410AS
HDD,Seagate,Barracuda 7200.12 500GB,54.5,500GB,Barracuda 7200.12,500GB,,https://hdd.userbenchmark.com/SpeedTest/1134/ST3500413AS
HDD,Seagate,Barracuda 7200.14 250GB,54.3,250GB,Barracuda 7200.14,250GB,,https://hdd.userbenchmark.com/SpeedTest/3265/ST250DM000-1BD141
HDD,WD,WD800HLFS-75G6U0 80GB,54.3,80GB,WD800HLFS-75G6U0,80GB,,https://hdd.userbenchmark.com/SpeedTest/5888/WDC-WD800HLFS-75G6U0
HDD,WD,"Black 2.5"" 750GB (2013)",54.1,750GB,"Black 2.5""",750GB,2013.0,https://hdd.userbenchmark.com/SpeedTest/1740/WDC-WD7500BPKX-80HPJ
HDD,Hitachi,HDS721050CLA660 500GB,54.1,500GB,HDS721050CLA660,500GB,,https://hdd.userbenchmark.com/SpeedTest/289/Hitachi-HDS721050CLA660
HDD,WD,Green 2.5TB (2011),54.1,5TB,Green 2.,5TB,2011.0,https://hdd.userbenchmark.com/SpeedTest/3574/WDC-WD25EZRX-00MMMB0
HDD,Seagate,Barracuda 7200.12 1TB,53.9,1TB,Barracuda 7200.12,1TB,,https://hdd.userbenchmark.com/Seagate-Barracuda-720012-1TB/Rating/2022
HDD,WD,WD5000AUDX-63WNHY0 500GB,53.9,500GB,WD5000AUDX-63WNHY0,500GB,,https://hdd.userbenchmark.com/SpeedTest/1793/WDC-WD5000AUDX-63WNHY0
HDD,,WL1000GSA6472R 1TB,53.9,1TB,WL1000GSA6472R,1TB,,https://hdd.userbenchmark.com/SpeedTest/7128/WL1000GSA6472R
HDD,Seagate,Barracuda 7200.12 500GB,53.8,500GB,Barracuda 7200.12,500GB,,https://hdd.userbenchmark.com/SpeedTest/441/ST3500418AS
HDD,Samsung,HD155UI 1.5TB,53.8,5TB,HD155UI 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/6951/SAMSUNG-HD155UI
HDD,WD,"Black 2.5"" 750GB (2011)",53.7,750GB,"Black 2.5""",750GB,2011.0,https://hdd.userbenchmark.com/SpeedTest/310/WDC-WD7500BPKT-60PK4T0
HDD,Hitachi,HTS725050A7E630 500GB,53.6,500GB,HTS725050A7E630,500GB,,https://hdd.userbenchmark.com/SpeedTest/386/HGST-HTS725050A7E630
HDD,Seagate,ST31500341AS 1.5TB,53.4,5TB,ST31500341AS 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/6611/Seagate-ST31500341AS
HDD,Seagate,Barracuda Green 1.5TB,53.4,5TB,Barracuda Green 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/2196/ST1500DL003-9VT16L
HDD,Hitachi,HTS725050A7E63 500GB,53.2,500GB,HTS725050A7E63,500GB,,https://hdd.userbenchmark.com/SpeedTest/12194/HTS725050A7E63
HDD,Seagate,ST31000524AS 1TB,53.0,1TB,ST31000524AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/12491/Seagate-ST31000524AS
HDD,WD,WD5002ABYS-02B1B0 500GB,52.9,500GB,WD5002ABYS-02B1B0,500GB,,https://hdd.userbenchmark.com/SpeedTest/4481/WDC-WD5002ABYS-02B1B0
HDD,,GB0500EAFYL 500GB,52.9,500GB,GB0500EAFYL,500GB,,https://hdd.userbenchmark.com/SpeedTest/5763/GB0500EAFYL
HDD,WD,Blue 500GB (2010),52.6,500GB,Blue,500GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/398/WDC-WD5000AAKX-001CA0
HDD,Seagate,"Laptop SSHD 2.5"" (32GB NAND) 1TB",52.6,32GB,"Laptop SSHD 2.5"" (",32GB,,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--32GB-NAND-1TB/Rating/3600
HDD,,KingFast 128GB,52.6,128GB,KingFast,128GB,,https://hdd.userbenchmark.com/SpeedTest/9927/KingFast
HDD,Seagate,STM31000528AS 1TB,52.6,1TB,STM31000528AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/4190/STM31000528AS
HDD,Hitachi,HDS721025CLA382 250GB,52.4,250GB,HDS721025CLA382,250GB,,https://hdd.userbenchmark.com/SpeedTest/6106/Hitachi-HDS721025CLA382
HDD,Toshiba,MQ01ACF050 500GB,52.4,500GB,MQ01ACF050,500GB,,https://hdd.userbenchmark.com/SpeedTest/7527/TOSHIBA-MQ01ACF050
HDD,WD,WD1600HLFS-60G6U2 160GB,52.3,160GB,WD1600HLFS-60G6U2,160GB,,https://hdd.userbenchmark.com/SpeedTest/5606/WDC-WD1600HLFS-60G6U2
HDD,Seagate,ST31000333AS 1TB,52.2,1TB,ST31000333AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/1279/ST31000333AS
HDD,Seagate,ST3640323AS 640GB,52.2,640GB,ST3640323AS,640GB,,https://hdd.userbenchmark.com/SpeedTest/3064/ST3640323AS
HDD,Seagate,ST3640623AS 640GB,51.9,640GB,ST3640623AS,640GB,,https://hdd.userbenchmark.com/SpeedTest/5431/ST3640623AS
HDD,WD,WD7502ABYS-02A6B0 750GB,51.8,750GB,WD7502ABYS-02A6B0,750GB,,https://hdd.userbenchmark.com/SpeedTest/9643/WDC-WD7502ABYS-02A6B0
HDD,Maxtor,STM31000333AS 1TB,51.4,1TB,STM31000333AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/10102/MAXTOR-STM31000333AS
HDD,WD,Green 1TB (2011),51.4,1TB,Green,1TB,2011.0,https://hdd.userbenchmark.com/SpeedTest/2607/WDC-WD10EARX-00N0YB0
HDD,,GB0250EAFYK 250GB,51.2,250GB,GB0250EAFYK,250GB,,https://hdd.userbenchmark.com/SpeedTest/5794/GB0250EAFYK
HDD,WD,WD2502ABYS-18B7A0 250GB,51.2,250GB,WD2502ABYS-18B7A0,250GB,,https://hdd.userbenchmark.com/SpeedTest/4931/WDC-WD2502ABYS-18B7A0
HDD,Hitachi,HDS5C3030ALA630 3TB,51.0,3TB,HDS5C3030ALA630,3TB,,https://hdd.userbenchmark.com/SpeedTest/3627/Hitachi-HDS5C3030ALA630
HDD,Seagate,ST2000LM003 HN-M201RAD 2TB,51.0,2TB,ST2000LM003 HN-M201RAD,2TB,,https://hdd.userbenchmark.com/SpeedTest/12558/ST2000LM003-HN-M201RAD
HDD,WD,Green 2TB (2011),50.9,2TB,Green,2TB,2011.0,https://hdd.userbenchmark.com/WD-Green-2TB-2011/Rating/1850
HDD,Hitachi,HDT721075SLA380 750GB,50.8,750GB,HDT721075SLA380,750GB,,https://hdd.userbenchmark.com/SpeedTest/3276/Hitachi-HDT721075SLA380
HDD,Seagate,ST9750422AS 750GB,50.8,750GB,ST9750422AS,750GB,,https://hdd.userbenchmark.com/SpeedTest/6425/ST9750422AS
HDD,WD,Black 750GB (2008),50.7,750GB,Black,750GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/1987/WDC-WD7501AALS-00J7B0
HDD,WD,Green 750GB (2012),50.7,750GB,Green,750GB,2012.0,https://hdd.userbenchmark.com/SpeedTest/1925/WDC-WD7500AZRX-00A8LB0
HDD,WD,WD25EZRS-00J99B0 2.5TB,50.6,5TB,WD25EZRS-00J99B0 2.,5TB,,https://hdd.userbenchmark.com/SpeedTest/9160/WDC-WD25EZRS-00J99B0
HDD,Samsung,HD102UJ 1TB,50.6,1TB,HD102UJ,1TB,,https://hdd.userbenchmark.com/SpeedTest/7223/SAMSUNG-HD102UJ
HDD,Toshiba,MQ01ACF032 320GB,50.4,320GB,MQ01ACF032,320GB,,https://hdd.userbenchmark.com/SpeedTest/4030/TOSHIBA-MQ01ACF032
HDD,Seagate,ST310005 28AS 1TB,50.4,1TB,ST310005 28AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/1219/ST310005-28AS
HDD,Seagate,Barracuda 7200.12 750GB,50.3,750GB,Barracuda 7200.12,750GB,,https://hdd.userbenchmark.com/SpeedTest/562/ST3750525AS
HDD,,GB1000EAMYC 1TB,50.2,1TB,GB1000EAMYC,1TB,,https://hdd.userbenchmark.com/SpeedTest/10569/GB1000EAMYC
HDD,WD,Green 2TB (2010),50.2,2TB,Green,2TB,2010.0,https://hdd.userbenchmark.com/SpeedTest/2609/WDC-WD20EARS-00M
HDD,WD,Blue 250GB (2010),50.1,250GB,Blue,250GB,2010.0,https://hdd.userbenchmark.com/SpeedTest/53/WDC-WD2500AAKX-753CA1
HDD,Hitachi,HDS721010CLA 1TB,50.0,1TB,HDS721010CLA,1TB,,https://hdd.userbenchmark.com/SpeedTest/1227/Hitachi-HDS721010CLA
HDD,Samsung,HE103UJ 1TB,50.0,1TB,HE103UJ,1TB,,https://hdd.userbenchmark.com/SpeedTest/5305/SAMSUNG-HE103UJ
HDD,WD,WD1002FBYS-02A6B0 1TB,49.9,1TB,WD1002FBYS-02A6B0,1TB,,https://hdd.userbenchmark.com/SpeedTest/22/WDC-WD1002FBYS-02A6B0
HDD,Seagate,Barracuda 7200.14 320GB,49.9,320GB,Barracuda 7200.14,320GB,,https://hdd.userbenchmark.com/SpeedTest/2924/ST320DM000-1BD14C
HDD,Seagate,ST31000520AS 1TB,49.8,1TB,ST31000520AS,1TB,,https://hdd.userbenchmark.com/SpeedTest/1280/ST31000520AS
HDD,Seagate,IronWolf 12TB (2017),49.7,12TB,IronWolf,12TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/408715/ST12000VN0007-2GS116
HDD,Seagate,FA GoFlex Desk 2TB,49.6,2TB,FA GoFlex Desk,2TB,,https://hdd.userbenchmark.com/SpeedTest/9703/Seagate-FA-GoFlex-Desk
HDD,WD,Blue 640GB (2008),49.6,640GB,Blue,640GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/2174/WDC-WD6400AAKS-22A7B2
HDD,WD,Black 640GB (2008),49.6,640GB,Black,640GB,2008.0,https://hdd.userbenchmark.com/SpeedTest/136/WDC-WD6401AALS-00L3B2
HDD,Seagate,ST3250312AS 250GB,49.5,250GB,ST3250312AS,250GB,,https://hdd.userbenchmark.com/SpeedTest/2897/ST3250312AS
HDD,WD,Purple Surveillance 500GB (2017),49.5,500GB,Purple Surveillance,500GB,2017.0,https://hdd.userbenchmark.com/SpeedTest/430589/WDC-WD05PURZ-85U8XY0
HDD,Hitachi,HDE721010SLA330 1TB,49.5,1TB,HDE721010SLA330,1TB,,https://hdd.userbenchmark.com/SpeedTest/2356/Hitachi-HDE721010SLA330
